year,state_id,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,30,0.02765,26050,0.02765,26050,0,0,2400,4800,2400
2023,30,0.03226,46100,0.03226,46100,NULL,NULL,NULL,NULL,NULL
2023,30,0.03688,92150,0.03688,92150,NULL,NULL,NULL,NULL,NULL
2023,30,0.0399,115300,0.0399,115300,NULL,NULL,NULL,NULL,NULL
2023,31,0.0025,0,0.0025,0,6350,12700,1000,2000,1000
2023,31,0.0075,1000,0.0075,2000,NULL,NULL,NULL,NULL,NULL
2023,31,0.0175,2500,0.0175,5000,NULL,NULL,NULL,NULL,NULL
2023,31,0.0275,3750,0.0275,7500,NULL,NULL,NULL,NULL,NULL
2023,31,0.0375,4900,0.0375,9800,NULL,NULL,NULL,NULL,NULL
2023,31,0.0475,7200,0.0475,12200,NULL,NULL,NULL,NULL,NULL
2023,32,0.0475,0,0.0475,0,2605,5210,236,472,236
2023,32,0.0675,4050,0.0675,8100,NULL,NULL,NULL,NULL,NULL
2023,32,0.0875,10200,0.0875,20400,NULL,NULL,NULL,NULL,NULL
2023,32,0.099,125000,0.099,250000,NULL,NULL,NULL,NULL,NULL
2023,39,0.0307,0,0.0307,0,0,0,0,0,0
2023,40,0.0375,0,0.0375,0,10000,20050,4700,9400,4700
2023,40,0.0475,68200,0.0475,68200,NULL,NULL,NULL,NULL,NULL
2023,40,0.0599,155050,0.0599,155050,NULL,NULL,NULL,NULL,NULL
2023,41,0,0,0,0,13850,27700,0,0,4430
2023,41,0.03,3200,0.03,3200,NULL,NULL,NULL,NULL,NULL
2023,41,0.065,16040,0.065,16040,NULL,NULL,NULL,NULL,NULL
2023,42,0,NULL,0,NULL,0,0,0,0,0
2023,43,0,NULL,0,NULL,0,0,0,0,0
2023,44,0,NULL,0,NULL,0,0,0,0,0
2023,45,0.0485,0,0.0485,0,831,1662,0,0,1802
2023,46,0.0335,0,0.0335,0,6500,13050,4500,9000,4500
2023,46,0.066,42150,0.066,70450,NULL,NULL,NULL,NULL,NULL
2023,46,0.076,102200,0.076,170300,NULL,NULL,NULL,NULL,NULL
2023,46,0.0875,213150,0.0875,259500,NULL,NULL,NULL,NULL,NULL
2023,47,0.02,0,0.02,0,8000,16000,930,1860,930
